CASE_SEQUENCE,WARD,CREATION_MONTH,N_POTHOLES_FILLED_ON_BLOCK,N_DAYS_FOR_COMPLETION,LATITUDE,LONGITUDE
15951,36,3,3.169925001,0,41.92224754,-87.76607281
15952,36,3,2.584962501,0,41.92213244,-87.77337039
15953,7,3,1,0,41.71184053,-87.56329506
15954,10,3,1.584962501,0,41.72230656,-87.56002334
15955,36,3,3.584962501,0,41.92360524,-87.78307101
15956,29,3,3.459431619,0,41.88413563,-87.77350208
15957,37,3,4.857980995,0,41.90360406,-87.7313736
15958,2,3,4.857980995,0,41.90711392,-87.66530428
15959,2,3,4.247927513,0,41.90713351,-87.66408955
15960,2,3,5.247927513,0,41.9089074,-87.66535135
15961,40,3,4.523561956,0,41.9923616,-87.68985478
15962,27,3,5.584962501,0,41.87891128,-87.6620651
15963,27,3,4.906890596,0,41.87897559,-87.65963553
15964,29,3,3.584962501,0,41.93977509,-87.81306621
15965,11,3,2,0,41.8568521,-87.64193513
15966,29,3,2,0,41.87499366,-87.75208178
15967,25,3,3.169925001,0,41.87088109,-87.63946029
15968,29,3,2.584962501,0,41.87974431,-87.76499581
15969,29,3,1,0,41.88701204,-87.7733801
